Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-11-00:00:00) : Datalog / Vystupy ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | BIT5 : %b %R012351.5 | BIT4 : %b %R012351.4 | BIT4 : %b %Y000006.4 | BIT5 : %b %Y000006.5 | BIT3 : %b %Y000006.3 | BIT2 : %b %Y000006.2 | BIT2 : %b %Y000915.2 | BIT2 : %b %R011093.2 | REAL : %5.1f %RF010058 | REAL : %5.1f %XF001468 | REAL : %5.1f %XF001474 | REAL : %5.1f %XF001478 | BIT0 : %b %Y000794.0 | BIT1 : %b %Y000794.1 | ,;
DATUM;ÈAS;cerpadlo TC;cerpadlo Sol;TV el.teleso;TV ventil;zdroj2;cerpadlo Z1;cerpadlo Z2;HDO;tepl.Krb;t2 modul Krb;t1 modul UNI;t2 modul UNI;cerp. Krb;out2 modul Krb
11-01-2024;02:03:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:04:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:05:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:06:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:07:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:08:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:09:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:10:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:11:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:12:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:13:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:14:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:15:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:16:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:17:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:18:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:19:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:20:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:21:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:22:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:23:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:24:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:25:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:26:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:27:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:28:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:29:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:30:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
11-01-2024;02:31:00;0;0;0;0;0;1;0;0;  0,0;  0,0;  0,0;  0,0;0;0;
