 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +3.2999999999999998E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6423241568639021E+01	
  +3.3166666666666669E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6422912699637287E+01	
  +3.3333333333333335E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6423172111649816E+01	
  +3.3500000000000001E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6422922584189742E+01	
  +3.3666666666666667E+00	  +3.7000000000000000E+01	  +1.1350000000000000E+03	  +2.6423128469041451E+01	
  +3.3833333333333333E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6422954079467036E+01	
  +3.3999999999999999E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6423107884519588E+01	
  +3.4166666666666665E+00	  +3.7000000000000000E+01	  +1.1350000000000000E+03	  +2.6422979813395088E+01	
  +3.4333333333333331E+00	  +3.7000000000000000E+01	  +1.1350000000000000E+03	  +2.6423096144230144E+01	
  +3.4500000000000002E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6423003588481389E+01	
  +3.4666666666666668E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6423090775914343E+01	
  +3.4833333333333334E+00	  +3.7000000000000000E+01	  +1.1350000000000000E+03	  +2.6423025562262254E+01	
  +3.5000000000000000E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6423095606586894E+01	
  +3.5166666666666666E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6423048438801416E+01	
  +3.5333333333333332E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6423103724092424E+01	
  +3.5499999999999998E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6423069799033581E+01	
  +3.5666666666666669E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6423113235918827E+01	
  +3.5833333333333335E+00	  +3.7000000000000000E+01	  +1.1320000000000000E+03	  +2.6423073289214503E+01	
  +3.6000000000000001E+00	  +3.7000000000000000E+01	  +1.1350000000000000E+03	  +2.6423079427835336E+01	
  +3.6166666666666667E+00	  +3.7000000000000000E+01	  +1.1350000000000000E+03	  +2.6423040958474335E+01	
  +3.6333333333333333E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6423055897946877E+01	
  +3.6499999999999999E+00	  +3.7000000000000000E+01	  +1.1330000000000000E+03	  +2.6423032256189099E+01	
  +3.6666666666666665E+00	  +3.7000000000000000E+01	  +1.1340000000000000E+03	  +2.6423044520546480E+01	
