 TIME                    	teplota_privod_otopka    	prutok                   	privod                   	
  +9.5166666666666675E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5709359422537258E+01	
  +9.5333333333333332E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5709362411457434E+01	
  +9.5500000000000007E+00	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5708773726063793E+01	
  +9.5666666666666664E+00	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5709189876949679E+01	
  +9.5833333333333339E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5709868074046891E+01	
  +9.5999999999999996E+00	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5710368668441806E+01	
  +9.6166666666666671E+00	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5710515769629502E+01	
  +9.6333333333333329E+00	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5710709752913814E+01	
  +9.6500000000000004E+00	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5710414583895236E+01	
  +9.6666666666666661E+00	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5710257376773804E+01	
  +9.6833333333333336E+00	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5710255696671663E+01	
  +9.6999999999999993E+00	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5710484392040481E+01	
  +9.7166666666666668E+00	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5710931322526182E+01	
  +9.7333333333333325E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5711255695070346E+01	
  +9.7500000000000000E+00	  +2.7000000000000000E+01	  +1.1350000000000000E+03	  +2.5711607264483703E+01	
  +9.7666666666666675E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5712014731585917E+01	
  +9.7833333333333332E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5712816027933030E+01	
  +9.8000000000000007E+00	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5714067326260224E+01	
  +9.8166666666666664E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5714485831749052E+01	
  +9.8333333333333339E+00	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5713869135914830E+01	
  +9.8499999999999996E+00	  +2.7000000000000000E+01	  +1.1350000000000000E+03	  +2.5713639581185841E+01	
  +9.8666666666666671E+00	  +2.7000000000000000E+01	  +1.1300000000000000E+03	  +2.5713921883801216E+01	
  +9.8833333333333329E+00	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5714440728737504E+01	
  +9.9000000000000004E+00	  +2.7000000000000000E+01	  +1.1300000000000000E+03	  +2.5715197361425336E+01	
  +9.9166666666666661E+00	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5715898455593862E+01	
  +9.9333333333333336E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5716579100963212E+01	
  +9.9499999999999993E+00	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5717445034687074E+01	
  +9.9666666666666668E+00	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5718423372054701E+01	
  +9.9833333333333325E+00	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5719233231719524E+01	
  +1.0000000000000000E+01	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5684971947061548E+01	
  +1.0016666666666667E+01	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5649507929927182E+01	
  +1.0033333333333333E+01	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5644034762163276E+01	
  +1.0050000000000001E+01	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5643749054208364E+01	
  +1.0066666666666666E+01	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5646442212244143E+01	
  +1.0083333333333334E+01	  +2.7000000000000000E+01	  +1.1300000000000000E+03	  +2.5645595416752734E+01	
  +1.0100000000000000E+01	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5644379006459417E+01	
  +1.0116666666666667E+01	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5643450408806867E+01	
  +1.0133333333333333E+01	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5643961830030349E+01	
  +1.0150000000000000E+01	  +2.7000000000000000E+01	  +1.1300000000000000E+03	  +2.5644296520308920E+01	
  +1.0166666666666666E+01	  +2.7000000000000000E+01	  +1.1300000000000000E+03	  +2.5646071100349008E+01	
  +1.0183333333333334E+01	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5648723953832576E+01	
  +1.0199999999999999E+01	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5649521461973421E+01	
  +1.0216666666666667E+01	  +2.6000000000000000E+01	  +1.1300000000000000E+03	  +2.5498537317271794E+01	
  +1.0233333333333333E+01	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5522966009153059E+01	
  +1.0250000000000000E+01	  +2.7000000000000000E+01	  +1.1310000000000000E+03	  +2.5628326249377146E+01	
  +1.0266666666666667E+01	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5643495459583093E+01	
  +1.0283333333333333E+01	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5651411484966491E+01	
  +1.0300000000000001E+01	  +2.7000000000000000E+01	  +1.1300000000000000E+03	  +2.5650680561402670E+01	
  +1.0316666666666666E+01	  +2.7000000000000000E+01	  +1.1350000000000000E+03	  +2.5654050100729787E+01	
  +1.0333333333333334E+01	  +2.7000000000000000E+01	  +1.1330000000000000E+03	  +2.5653541867144721E+01	
  +1.0350000000000000E+01	  +2.7000000000000000E+01	  +1.1320000000000000E+03	  +2.5656381909784759E+01	
  +1.0366666666666667E+01	  +2.6000000000000000E+01	  +1.1330000000000000E+03	  +2.5504946992673869E+01	
  +1.0383333333333333E+01	  +2.7000000000000000E+01	  +1.1340000000000000E+03	  +2.5530598914044493E+01	
  +1.0400000000000000E+01	  +2.6000000000000000E+01	  +1.1320000000000000E+03	  +2.5485227481248202E+01	
  +1.0416666666666666E+01	  +2.6000000000000000E+01	  +1.1330000000000000E+03	  +2.5374553363155204E+01	
  +1.0433333333333334E+01	  +2.4000000000000000E+01	  +1.1350000000000000E+03	  +2.5058662216810561E+01	
  +1.0449999999999999E+01	  +2.3000000000000000E+01	  +1.1360000000000000E+03	  +2.4647171126757812E+01	
  +1.0466666666666667E+01	  +2.3000000000000000E+01	  +1.1350000000000000E+03	  +2.4480401035552248E+01	
  +1.0483333333333333E+01	  +2.3000000000000000E+01	  +1.1330000000000000E+03	  +2.4443269114781582E+01	
  +1.0500000000000000E+01	  +2.3000000000000000E+01	  +1.1290000000000000E+03	  +2.4440852064431049E+01	
  +1.0516666666666667E+01	  +2.3000000000000000E+01	  +1.1280000000000000E+03	  +2.4438436835039372E+01	
  +1.0533333333333333E+01	  +2.3000000000000000E+01	  +1.1280000000000000E+03	  +2.4442029495744212E+01	
  +1.0550000000000001E+01	  +2.3000000000000000E+01	  +1.1300000000000000E+03	  +2.4440667395024530E+01	
  +1.0566666666666666E+01	  +2.3000000000000000E+01	  +1.1350000000000000E+03	  +2.4442774675242504E+01	
  +1.0583333333333334E+01	  +2.3000000000000000E+01	  +1.1340000000000000E+03	  +2.4441712495134063E+01	
  +1.0600000000000000E+01	  +2.3000000000000000E+01	  +1.1350000000000000E+03	  +2.4443276812432376E+01	
  +1.0616666666666667E+01	  +2.3000000000000000E+01	  +1.1360000000000000E+03	  +2.4442595786369839E+01	
  +1.0633333333333333E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4594544909148517E+01	
  +1.0650000000000000E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4720894405610363E+01	
  +1.0666666666666666E+01	  +2.4000000000000000E+01	  +1.1370000000000000E+03	  +2.4741244055838543E+01	
