Tecomat F2x CP2007I v2.3.061 DataLogger v1.3 (2024-01-10-00:00:00) : Datalog / El_meter ! Type : PERIODIC | DATE : %TDD-MM-YYYY | TIME : %Thh:mm:ss | REAL : %9.f %RF012397 | REAL : %9.f %RF012401 | REAL : %9.f %RF012405 | ,;
DATUM;ÈAS;Vykon L1;Vykon L2;Vykon L3
10-01-2024;01:52:20;     1872;        0;       -0;
10-01-2024;01:52:30;     1873;        0;       -0;
10-01-2024;01:52:40;     1870;        0;       -0;
10-01-2024;01:52:50;     1870;        0;       -0;
10-01-2024;01:53:00;     1872;        0;       -0;
10-01-2024;01:53:10;     1872;        0;       -0;
10-01-2024;01:53:20;     1880;       -0;       -0;
10-01-2024;01:53:30;     1887;        0;        0;
10-01-2024;01:53:40;     1892;        0;       -0;
10-01-2024;01:53:50;     1897;        0;       -0;
10-01-2024;01:54:00;     1898;        0;       -0;
10-01-2024;01:54:10;     1903;        0;       -0;
10-01-2024;01:54:20;     1911;       -0;       -0;
10-01-2024;01:54:30;     1920;       -0;       -0;
10-01-2024;01:54:40;     1929;        0;       -0;
10-01-2024;01:54:50;     1709;       -0;       -0;
10-01-2024;01:55:00;     1724;        0;       -0;
10-01-2024;01:55:10;     1767;        0;       -0;
10-01-2024;01:55:20;     1795;        0;       -0;
10-01-2024;01:55:30;     1819;        0;       -0;
10-01-2024;01:55:40;     1817;        0;       -0;
10-01-2024;01:55:50;     1818;        0;       -0;
10-01-2024;01:56:00;     1736;       -0;       -0;
10-01-2024;01:56:10;     1644;        0;       -0;
10-01-2024;01:56:20;     1653;        0;       -0;
10-01-2024;01:56:30;     1664;       -0;       -0;
10-01-2024;01:56:40;     1679;        0;       -0;
10-01-2024;01:56:50;     1686;       -0;       -0;
10-01-2024;01:57:00;     1693;        0;       -0;
10-01-2024;01:57:10;     1694;        0;       -0;
10-01-2024;01:57:20;     1698;       -0;       -0;
10-01-2024;01:57:30;     1701;       -0;       -0;
10-01-2024;01:57:40;     1702;        0;       -0;
10-01-2024;01:57:50;     1524;        0;       -0;
10-01-2024;01:58:00;     1532;        0;        0;
10-01-2024;01:58:10;     1532;        0;       -0;
10-01-2024;01:58:20;     1514;       -0;       -0;
10-01-2024;01:58:30;     1380;        0;       -0;
10-01-2024;01:58:40;     1148;        0;       -0;
10-01-2024;01:58:50;      930;       -0;       -0;
10-01-2024;01:59:00;      909;        0;       -0;
10-01-2024;01:59:10;      459;       -0;       -0;
10-01-2024;01:59:20;      392;        0;       -0;
10-01-2024;01:59:30;      436;        0;       -0;
10-01-2024;01:59:40;      590;        0;       -0;
10-01-2024;01:59:50;      879;        0;       -0;
10-01-2024;02:00:00;     1264;       -0;       -0;
10-01-2024;02:00:10;     1134;       -0;        0;
10-01-2024;02:00:20;      999;        0;       -0;
10-01-2024;02:00:30;      862;        0;       -0;
10-01-2024;02:00:40;      902;        0;       -0;
10-01-2024;02:00:50;      315;       -0;       -0;
10-01-2024;02:01:00;      594;       -0;       -0;
10-01-2024;02:01:10;      904;        0;       -0;
10-01-2024;02:01:20;     1196;        0;       -0;
10-01-2024;02:01:30;     1507;       -0;       -0;
10-01-2024;02:01:40;     1510;       -0;       -0;
10-01-2024;02:01:50;     1473;       -0;       -0;
10-01-2024;02:02:00;     1455;        0;       -0;
10-01-2024;02:02:10;     1461;        0;       -0;
10-01-2024;02:02:20;     1468;        0;       -0;
10-01-2024;02:02:30;     1462;        0;       -0;
10-01-2024;02:02:40;     1462;       -0;       -0;
10-01-2024;02:02:50;     1439;        0;       -0;
10-01-2024;02:03:00;     1447;        0;       -0;
10-01-2024;02:03:10;     1460;        0;        0;
10-01-2024;02:03:20;     1464;       -0;       -0;
10-01-2024;02:03:30;     1468;        0;       -0;
10-01-2024;02:03:40;     1481;        0;       -0;
10-01-2024;02:03:50;     1397;        0;       -0;
10-01-2024;02:04:00;     1320;        0;       -0;
10-01-2024;02:04:10;     1326;        0;       -0;
10-01-2024;02:04:20;     1336;       -0;       -0;
10-01-2024;02:04:30;     1345;        0;       -0;
10-01-2024;02:04:40;     1350;        0;        0;
10-01-2024;02:04:50;     1359;        0;       -0;
10-01-2024;02:05:00;     1198;       -0;       -0;
10-01-2024;02:05:10;     1195;       -0;        0;
10-01-2024;02:05:20;     1195;        0;       -0;
10-01-2024;02:05:30;     1196;        0;       -0;
